"pca_id","pca_description","product_family","business_unit","technology_group"
"73-3913-02","PCA, SUB, MC3810, HCM6","IAD240","SRGBU","ENGTG"
"73-10224-02","PCA,CONST2,MELODY,CF-ADAPTER CARD for ARIEL-BF","C6000","EBBU","ENGTG"
"73-7382-01","PCA,PADDLE_HSD,TEST CARD,CONST","","",""
"73-13045-01","PCA,OTHERHWIC-4CE1T1-PRI,ARGOT","","",""
"73-16127-06","PCA,MBRD, HDD Mother Board, 20 layer,Colusa","","",""
"73-15705-01","PCA,MBRD,DAGGER, ISR4321/K9","4300ISR","SRGBU","ENGTG"
"73-7428-01","PCA, Flamingo 24-FX-SMF","","",""
"73-219840-04","PCA,ASY,PCB UAI-2OC3-2X9-SMF","","",""
"73-219870-06","PCA,ASY,PCB SMF-155-8-A","","",""
"73-219900-00","PCA,ASY,PCB MARS VPM","","",""
"73-220020-00","PCA,ASY,PCB PEM S8","","",""
"73-219830-04","PCA,ASY,PCB UTM 50","","",""
"73-219840-00","PCA,ASY,PCB UAI-1OC3-2X9-SMF","","",""
"73-209410-00","PCA,SUB,INTEGRATED ECU","","",""
"73-209520-00","PCA,SUB,BCE1CISPR","","",""
"73-208280-00","PCA,SUB,CDP PROTOTYPE","","",""
"73-14279-04","ACQ,ASY,ELMECH,ASR55K,REAR FAN TRAY CONTROLLER CARD (RFTCC)","","",""
"73-15800-01","^PCA,MBRD,NEWTONCSR-48P","","",""
"73-15799-01","^PCA,MBRD,NEWTONCSR-48U","","",""
"73-15801-01","^PCA,MBRD,NEWTONCS-48U","","",""
"73-6244-01","PCA,CARTE DISPLAY (SEND4)","","",""
"73-9099-02","PCA,CONST2+,AMARGOSA","","",""
"73-6245-01","PCA,CARTE SAC-CPU GAMME IND","","",""
"73-6260-01","PCA,CARTE DEMUX RWD/B-NT","","",""
"73-213750-01","PCA,SUB,AUMLMBNCCLKE3","","",""
"73-200400-00","PCA,SUB,PCC 64KRAM","","",""
"73-13699-02","PCA,DBRD,MFG TV,LCR,PANINI","","",""
"73-6459-01","PCA,Einschub OPTE E16 INT","","",""
"73-2972-05","PCA,PAM FUNI DS3,I/O,RHINO","","",""
"73-1546-01E1","PCA,SUB,COBRA,DAUGHTER BD","","",""
"73-13044-03","PCA,MBRD,TIDE/CHESTNUT,TBONE MB","AIR3000","WNBU","ENGTG"
"73-14811-01","PCA,MBRD,HWIC,VDSL2/ADSL1/2/2+,Gray Goose,Annex A,SGBU","CGR2000","IOTBU","ENGTG"
"73-14809-01","PCA,MBRD,HWIC,VDSL2/ADSL1/2/2+,GreyGoose,Annex M,SGBU","CGR2000","IOTBU","ENGTG"
"73-14806-01","PCA,OTHER,DUMMY BOM only","","",""
"73-7404-02","PCA,CONSTELLATION2,ARIEL,DUAL CPU DB","","",""
"73-16583-02","PCA,MBRD,Macallan, Passport, Supervisor Card","","",""
"73-15489-04","PCA,MBRD,SUNNYSIDE-FEX 48xSFP+","N2000","DCSABU","SAVTG"
"73-15709-01","PCA,MBRD,1783-SR,Busch,PB-FREE","","",""
"73-7966-01","PCA,AWG IDPROM CARD TYPE 2,ONS-15540","15540","CORBU","CTG"
"73-4889-04","PCA,SUB,CWAN BASE 2TMCx64M/2M,CPLUS","C6000","EBBU","ENGTG"
"73-7964-01","PCA,PCADWG, PINWHEELT, 4E HUB, ADSL","800BB","SRGBU","ENGTG"
"73-14259-01","PCA,OTHER,Flex Cable 40G,ONLY FOR TEST","","",""
"73-14862-01","PCA,MDPLN,STARSCREAM,FC_MPC,MTP","","",""
"73-14277-01","PCA,MBRD,GALAXY9,48P 10/100/1000 RJ45,HOTHCR","C4500","UABU","ENGTG"
"73-2173-02E1","PCA,SUB,PA-ATM-OC3MM-CBR-T1","","",""
"73-15408-02","PCA,OTHER,DUPLO, 2x100G Eagle module Test card, SCAPA","","",""
"73-4007462-01","PCA,1GHz HPF/TRIM HGD 40/52","ON38","CABU","SPVTG"
"73-4066061-01","PCA,5dB 65 MHz REVERSE EQ","RF38","CABU","SPVTG"
"73-4027977-01","PCA,65/86 REV AMP,4 PORT GMN","ON38","CABU","SPVTG"
"73-16593-03","PCA,DBRD,Nano,3G-GSM & CDMA expansion module","400REVN","SRGBU","ENGTG"
"73-568542-01","PCA,860 MHz TYP3 REV SWTCH","RF38","CABU","SPVTG"
"73-18160-01","PCA, LR4 ROSA flex board, TMG.","","",""
"73-13434-02","PCA,MBRD,HWIC-3G-CDMA-B","WANLAN","SRGBU","ENGTG"
"73-4028573-01","PCA,IP ADAPTER MON OUT PLUG ON DCG","DCM","ESBU","SPVTG"
"73-18439-01","PCA,MDPLN,APEX,C10_FC,MPC,MTP,SPIN","","",""
"73-16368-02","PCA,NIC","PANSRG","SRGBU","ENGTG"
"73-16414-01","PCA,OTHER,Lafayette, Microphone","CTSDX","CVEBU","CVTG"
"73-9289-01","PCA,MAIN BOARD,X-BLADE,GSR","SBC","PABU","CTG"
"73-3773-02","PCA,SUB,XM-60","","",""
"73-15047-06","PCA,OTHER,FAN CONTROL MODULE, BATTLESTAR, Pb-FREE","","",""
"73-15637-02","PCA,DBRD,POWER SUPPLY RISER CARD for IMPERIAL","UCSC","SAVBU","SAVTG"
"73-15636-02","PCA,DBRD,HDD Backplane CARD for IMPERIAL","UCSC","SAVBU","SAVTG"
"73-18067-01","PCA,MBRD,BigEasy CR,8811,PB-FREE","","",""
"73-18068-01","PCA,MBRD,BigEasy CR,8841,PB-FREE","","",""
"73-17625-02","PCA,MBRD,BigEasy CR,8861,PB-FREE","","",""
"73-18069-01","PCA,MBRD,BigEasy CR,8851,PB-FREE","","",""
"73-18070-01","PCA,MBRD,BigEasy CR,8851 NR,PB-FREE","","",""
"73-17654-01","PCA,MBRD,TOR,OSLO, W/ DONNER +","","",""
"73-17655-01","PCA,MBRD,TOR,SAPPORO W/ DONNER +","","",""
"73-17656-01","PCA,DBRD,MODULAR PORT ADAPTER, DONNER ASIC, 6P 40G QSFP, COORS W/ DONNER +","","",""
"73-12592-07","PCA,MBRD,Stella48-CR, 48FE + 2SFP, Pb-Free","C2960","UABU","ENGTG"
"73-5077-07","PCA, MBRD, Fan Tray Controller Card, 15454","15454","CORBU","CTG"
"73-5184-03","PCA,SUB,WR15900, OC192, PROD. SPIN","","",""
"73-5065-0152","PCA,SUB,AXSM-1-9953","","",""
"73-5077-06","PCA, MBRD, Fan Tray Control Card, 15454","15454","CORBU","CTG"
"73-3929-04","PCA,SUB,WIC,12IN1,1T,CYCLONE","800TRAD","SRGBU","ENGTG"
"73-4144-02","PCA,CNTL/ANLG BD,SELSIUS 12SP+","","",""
"73-5336-02","PCA,WALL","","",""
"73-5205-03","GECO GO Live Test","","",""
"73-5246-05","PCA,AIM: Metro WDM, 10KM","C6000","EBBU","ENGTG"
"73-9082-02","OC3/12/CWDM","","",""
"73-15687-02","PCA,MBRD,KINGFISHER,Fullers-R24-L","C2960XR","UABU","ENGTG"
"73-13364-03","PCA,DBRD,POINT REYES,KVM PASS-THROUGH FOR SERVER BLADE","","",""
"73-4156-01","PCA,SUB,SINGLE_SLOT_ADAPTER,FENRIS","","",""
"73-7703-01","PCA,RXT_FEC_W_Nortel","","",""
"73-17788-01","PCA,MBRD, FRETTA, N8500, POWER SUPPLY INTERFACE, 8 SLOT, ASPEN-8","N6700","ECBU","CTG"
"73-16641-02","PCA,OTHER,NORTHSTAR,802.15.4G 915MHZ WPAN MODULE","","",""
"73-16445-03","PCA,OTHER,AURORA,802.15.4G 915MHZ WPAN MODULE","","",""
"73-9243-02","PCA, 15454-HD DS1 Connectivity Test Card","","",""
"73-3643-01","PCA,S/R 300BASE","","",""
"73-5212-02","PCA,OC192_VSR,Conexant,ModuleI,GSR","","",""
"73-5210-01","PCA,SUB,ORCA-LC,CHOC12,IR,GSR","","",""
"73-5184-01","PCA,SUB,WR15900, OC192, PROD. SPIN","","",""
"73-5172-01","PCA,SUB,MTRJ-8-155-LM/B","","",""
"73-5228-01","PCA,SUB,Network 8xT1 I/O, ITEMP","","",""
"73-5222-01","PCA,SUB,1 PORT GBIC-DB,CWAN","","",""
"73-5219-01","PCA,RATEMUX,DVB OUTPUT COMBINER,DVOC","","",""
"73-5218-01","PCA,RATEMUX,DHEI 3 IN,DVB 1 OUT,DHDV","","",""
"73-5266-01","PCA,DRAGONFLY,TEST BOARD","","",""
"73-5257-01","PCA,MXSM","","",""
"73-5246-01","PCA,AIM: Metro WDM, 10KM","C6000","EBBU","ENGTG"
"73-5230-01","PCA,R7K-PDC","","",""
"73-5911-01","PCA, SUB, WR15900, GMC4000, FULL DENSITY","","",""
"73-5915-01","PCA,CRUX136,CONST+","C6000","EBBU","ENGTG"
"73-5901-01","PCA,NSC2KFC","","",""
"73-5903-01","PCA, SCC-12G FC","","",""
"73-5935-01","PCA,GALAXY,REGULUS,48-10/100","","",""
"73-5156-01","PCA,MOD,PWR,3.3V,DISCRETE","","",""
"73-5928-01","PCA,DSP SRM II,LIGHTNING","","",""
"73-5932-01","PCA, VITO-24_SWITCH_CARD","","",""
"73-5171-0152","PCA,","","",""
"73-5171-0153","PCA,","","",""
"73-5158-03","PCA, SUB, WR15900, OC48 LC","","",""
"73-5169-01","PCA,SCALLOP,TEST BOARD","","",""
"73-15549-01","PCA,OTHER,CETUS,C6907 FAN TRAY CONTROLLER,MIRA","C6800MD","EBBU","ENGTG"
"73-11850-06","PCA,OTHER,EagleEye,L2+23 10/100+1 10/100/1000","","",""
"73-11857-06","PCA,OTHER,EagleEye,L3+PoE+23 10/100+1 10/100/1000","","",""
"73-14116-01","PCA,DBRD,ZappaCR ASIC Daughterboard, PF","","",""
"73-9100-03","PCA,MBRD,YUBA TESTCARD,C2-CR","","",""
"73-11851-06","PCA,OTHER,EagleEye,L2+PoE+15 10/100+1 10/100/1000","","",""
"73-11852-06","PCA,OTHER,EagleEye,L3+PoE+15 10/100+1 10/100/1000","","",""
"73-16152-04","PCA,DBRD,Viking Juggernaut -SE 1x100GE,V7, Pb-free","","",""
"73-16154-04","PCA,DBRD,Viking Juggernaut -TR 1x100GE,V7, Pb-free","","",""
"73-16148-05","PCA,DBRD,Viking Juggernaut -SE 2x100GE, V7,Pb-free","","",""
"73-16150-05","PCA,DBRD,Viking Juggernaut -TR 2x100GE,V7,Pb-free","","",""
"73-10206-01","PCA,GALAXY9,FAN CNTRL,GUSTNADO","","",""
"73-17423-01","PCA,GMSA BODE, Test Fixture","","",""
"73-8721-02","PCA,SUB,HQ-EXTENDER_CARD,LCR,HFR","","",""
"73-15260-10","PCA,MBRD,YOSEMITE","","",""
"73-17465-04","PCA,MBRD,YOSEMITE 2","","",""
"73-14172-09","PCA,MBRD,,B420 M3, CA, FULL BLADE","","",""
"73-100476-01","PCA, Arthur Dent OSP Compute Card, 1.1V","CTSCONF","CVIBU","CVTG"
"73-13582-02","PCA,MBRD,Pb-Free,ML-MR-10,15454/E","15454","CORBU","CTG"
"73-13581-02","PCA,MBRD,Pb-Free,CE-MR-10,15454/E","15454","CORBU","CTG"
"73-101017-02","POTENZA-40-TCAM,36 PORTS LC,FRETTA","","",""
"73-15691-02","PCA,MBRD,KINGFISHER,Sierra-R48-L","C2960XR","UABU","ENGTG"
"73-15690-02","PCA,MBRD,KINGFISHER,Sierra-R24PWR-L","C2960XR","UABU","ENGTG"
"73-16605-01","PCA,DBRD,MCP 2RU-100G, Crypto","","",""
"73-16604-01","PCA,DBRD,MCP 2RU-100G, LIB","","",""
"73-14989-02","PCA,DBRD,RUDY,IM,8x1GE-SFP+1x10GE","ASR903","PABU","CTG"
"73-101199-01","PCA,VRM Next gen test board,OSP,Edge Plated, VRM Module for Presidio Test","","",""
"73-101198-01","PCA,Presidio modified MB for VRM Module","","",""
"73-9908-01","PCA,SUB,MMF-4-155/B, SFC","MGX","SMBU","MITG"
"73-9988-04","PCA,OTHER,GALAXY9,WS-C4503-E ,VAR SPEED FAN CTRL,JANARA","C4500","UABU","ENGTG"
"73-7664-0151","PCA,SMB-16E1-LM","MGX","SMBU","MITG"
"73-10103-01","PCA,MBRD,BLACKHAWK,REGIFTER MB","","",""
"73-4066032-01","PCA,HDR2 D9824-B-IN","REC","ESBU","SPVTG"
"73-4030362-01","PCA,DCM CO-PROCESSOR BOARD","DCM","ESBU","SPVTG"
"73-16181-04","PCA,NIC,CALISTOGA,CRUZ_MLOM","UCSB","SAVBU","SAVTG"
"73-13584-05","PCA,MBRD,Pb-free,15454/E-XC-VXC-10G","15454","CORBU","CTG"
"73-9763-01","PCA, 15454/E EEPROM DAUGHTERBOARD","","",""
"73-5061-01","PCA,Proteus","7600","ERBU","CTG"
"73-14780-01","PCA,OTHER,DISPLAY MODULE,CR-SCHOONER,PB-FREE","UBR10K","CABU","SPVTG"
"73-15639-02","PCA,DBRD,PCIe Riser CARD for IMPERIAL","UCSC","SAVBU","SAVTG"
"73-15653-02","PCA,DBRD,Front Panel-Salton CARD for IMPERIAL","UCSC","SAVBU","SAVTG"
"73-15654-02","PCA,DBRD,SD Card Riser-Fort Yuma CARD for IMPERIAL","UCSC","SAVBU","SAVTG"
"73-11247-02","PCA,OTHER,CORONA,HOOKSWITCH BOARD","","",""
"73-11236-02","PCA,OTHER,REDTAIL,HOOKSWITCH BOARD","","",""
"73-15052-03","PCA,MBRD,K10,48P,RJ45,10/100/1000,REVANCR","C4500","UABU","ENGTG"
"73-15293-01","PCA,DBRD,CORTINA, SPINE, DAUGHTER CARD, CORTINA POWER MODULE TEST CARD, CRYSTAL BOWL","","",""
"73-15295-01","PCA,DBRD,CORTINA, SPINE, DAUGHTER CARD, 16 SLOT CONTROL PATH MODULE, PARK-16","N9500","INSBU","INSTG"
"73-9124-12","PCA,MBRD,MC520H,CANNON 2.0,CR-SCHOONER,","UBR10K","CABU","SPVTG"
"73-15468-01","PCA,MBRD,IncredibleCR 48","","",""
"73-15469-01","PCA,MBRD,IncredibleCR 24","","",""
"73-15117-02","PCA,DBRD,AC COUPLING,LONE STAR,CENBU","","",""
"73-100494-01","PCA, Arctic Circle Camera FPC","CTSMPS","CVEBU","CVTG"
"73-14539-01","PCA,OTHER,Power, Macro, TPS40422 F-MAC (Kingston)","","",""
"73-12882-01","PCA,MBRD,HYDROGEN,N5K","","",""
"73-11769-07","PCA,OTHER, ASTERIX SFP+ Bundle Test Module","SFP10G","TMGBU","CTG"
"73-15681-02","PCA,MBRD,DA GTWY,BISHOP ROCK,CENBU","CGR1000","IOTBU","ENGTG"
"73-16176-03","PCA,DBRD,N6K, LEM-20UP, Sulfur","","",""
"73-15680-02","PCA,MBRD,RANGE EXT,BISHOP ROCK,CENBU","CGR1000","IOTBU","ENGTG"
"73-13576-02","PCA,MBRD,Pb-free,ADM-10G,15454","15454W","CORBU","CTG"
"73-2410-01E2","PCA,SUB,PA,CE3","7000CMN","SRGBU","ENGTG"
"73-9234-01","MODULE,SUB,SECURITY COOKIE","","",""
"73-7662-01","PCA,TRUNK RCVR ADAPTER,MANHATTAN","","",""
"73-8340-05","PCA,TSM-4,15454","15454","CORBU","CTG"
"73-16324-03","PCA,NIC","PANSRG","SRGBU","ENGTG"
"73-16326-02","PCA,NIC","PANSRG","SRGBU","ENGTG"
"73-16325-02","PCA,NIC","PANSRG","SRGBU","ENGTG"
"73-13669-01","PCA,OTHER,EagleEye,L3+PoE+48 10/100+2 SFP","WANLAN","SRGBU","ENGTG"
"73-15008-01","PCA,MBRD,TRAVERSE IA, PB_FREE","","",""
"73-2396-08","PCA,SUB,MARS,VPM-2V","","",""
"73-13858-02","PCA,MBRD,CO100TDL10,OTBU,M6","","",""
"73-13362-02","PCA,MDPLN,BB2, N7K,DIJON10 SPINE TEST MIDPLANE","","",""
"73-6828-02","PCA,2PT OC-3 ATM,MM,C7300,VEGA","7304","SRGBU","ENGTG"
"73-17362-01","PCA, DBRD, CreteM, Fan interface card","","",""
"73-8452-12","PCA,Leto Baseboard","7600","ERBU","CTG"
"73-15916-01","PCA,DBRD,Test board, DDR3 MTP","","",""
"73-6046-05","PCA,4 Port OC-3 POS SML (Hadar)","","",""
"73-7604-01","PCA,LONG ISLAND 8P ESCON DC,MANHATTAN","","",""
"73-7528-01","PCA,WATERLOO,ANALOG FE","","",""
"73-16391-01","PCA,MBRD,DC POWER,DARK ENERGON,VIKING","ASR9000","ERBU","CTG"
"73-16086-05","PCA,MBRD,N7K, Brabham-40T, 24 port, 40G, SFP+, DCE","","",""
"73-16852-03","PCA,DBRD,BALBOA RANGELEY DAUGHTERBOARD,IOTBU","","",""
"73-16893-03","PCA,DBRD,TOMAHAWK, 20X10GE MPA, CLIFFJUMPER-DB","","",""
"73-14984-03","PCA,MBRD,NEWTONCR24U","C3850","UABU","ENGTG"
"73-10297-01","PCA,QOC192 DWDM-L PLIM,HFR","","",""
"73-9125-15","PCA,DBRD,MC520H,SABOT 2.0,CR-SCHOONER,","UBR10K","CABU","SPVTG"
"73-6450-01","PCA,Einschub OPTS L16/1539 HC","","",""
"73-6447-01","PCA,Einschub OPTS L16/1550 INT","","",""
"73-12247-05","PCA,MBRD,PF,FARADAY,12P 10G SFP+","","",""
"73-12071-04","PCA,MBRD,CONST4,PALLADIUM,SUP2T BASEBOARD","","",""
"73-9792-01","PCA,MBRD,E1-63 PROTECTING FMEC MAIN BRD, 15454E","","",""
"73-10400-01","PCA,MBRD,4xOC3/OC12 POS,GLADIATOR SPA","","",""
"73-10396-01","PCA,MBRD,2xOC3 POS,GLADIATOR SPA","","",""
"73-10397-01","PCA,MBRD,4xOC3 POS,GLADIATOR SPA","","",""
"73-17976-02","PCBA,1G FTW, SX (MM) - DAUGHTER BD","","",""
"73-17975-02","PCBA,1G FTW, SX (MM) - MOTHER BD","","",""
"73-17718-03","PCBA,10G FTW, LR (SM) - MOTHER BD.","","",""
"73-17719-03","PCBA,10G FTW, LR (SM) - DAUGHTER BD.","","",""
"73-17713-03","PCBA,10G FTW, SR (MM) - MOTHER BD.","","",""
"73-17714-03","PCBA,10G FTW, SR (MM) - DAUGHTER BD.","","",""
"73-4762-01","PCA,SUB,PA-MC-OC3MM","7000CMN","SRGBU","ENGTG"
"73-8533-01","PCA,EXTENDER CARD,FULL RATE","","",""
"73-1935-01","PCA,SUB,ROUTE 44 PCB 000963A","DSBUOTH","UABU","ENGTG"
"73-10270-01","PCA,BKPLN,MCP,P0 Load Card Backplane","","",""
"73-3388-02","PCA,SUB,PA-2CT3,FREEDM","7000CMN","SRGBU","ENGTG"
"73-10095-01","PCA,ISOLA,HARDROCK2,13SLOT BP,N-13","MDS9000","ECBU","CTG"
"73-3150-14","PCA,DRACO,ROUTER DAUGHTER CARD","C6000","EBBU","ENGTG"
"73-7724-02","PCA, 827H, PINWHEEL, 4 ETH HUB, ADSL","","",""
"73-13773-01","PCA,MBRD,,COPERNICUS PEAK,CIAC-GW2-RDR","","",""
"73-2379-02E3","PCA,SUB,LINE CARD 1x1,CR","","",""
"73-9250-01","PCA,REF,FHSPA,.110 GAP","","",""
"73-5127-01","PCA,SUB,MC26C,UBR","","",""
"73-13243-02","PCA,DBRD,PF,LAGRANGE,4x10G BASE-T Uplink FRU","","",""
"73-100901-01","PCA,OTHER,MTP Shockwave FC2-S Interface card, Pb free","","",""
"73-16894-01","PCA,DBRD,FIRESTAR LEBOWSKI","WANLAN","SRGBU","ENGTG"
"73-8775-01","PCA,FB COOLING W/2320,SN5428-2","","",""
"73-17257-04","PCA,MBRD,N77,Brabham40CB,24P,40G,LC","","",""
"73-7646-01","PCA,SUB,FAN-CNTL-L,LCR,HFR","CRS","CORBU","CTG"
"73-9770-01","PCA,GALAXY10,WHIRLPOOL,TEST BACKPLANE","","",""
"73-1317-01","PCA,SUB,BCKPL,FUSION,5 SLOT","","",""
"73-9148-03","PCA,MBRD,15454,TXP MXP , LATEMAR","15454W","CORBU","CTG"
"73-10000-01","PCA,WOODY_3,TEST BOARD,0.050","","",""
"73-9242-03","PCA,ORION 1200D RADIO,802.11G,MINI PCI TYPE IIIA,TURBO SiGe,ISL3865A,US VERSION ONLY,3.3V","AIR120A","WNBU","ENGTG"
"73-18092-02","PCA,DBRD,RIOVISTA2-FEX,FAN BOARD","","",""
"73-11549-05","PCA,MBRD,GALAHAD KEYPAD, PB-FREE","","",""
"73-10788-03","PCA,OTHER,PA-2T/E3-EC","7000CMN","SRGBU","ENGTG"
"73-10789-03","PCA,OTHER,PA-T/E3-EC","7000CMN","SRGBU","ENGTG"
"73-10659-01","PCA,MAKAHA,MAIN BOARD,6BT,PB-FREE","","",""
"73-10748-06","PCA,OTHER,PA-MC-T3-EC (crackerjack 1 port)","7000CMN","SRGBU","ENGTG"
"73-10656-01","PCA,MBRD,GAN-VPN,KOMODO+,CONST+","","",""
"73-10658-01","PCA,MAKAHA,MAIN BOARD,2BT,PB-FREE","","",""
"73-10654-01","PCA,OTHERPowered interfaces 3.3V 4X 1Port Lpbck, 1-UP","","",""
"73-10655-01","PCA,OTHER12X 1Port Infiniband Loopback Paddle for 12V Powered interface","","",""
"73-10652-01","PCA,OTHER4X 6Port Loopback for 3.3V Powered interfaces,6-Up,1.108 inch spacing(for 120)","","",""
"73-10653-01","PCA,OTHER4X 6Port Loopback for 3.3V Powered interfaces,6-Up,1.133 inch spacing(for 270)","","",""
"73-10055-02","PCA,ARUDRA,8x1GE UPLINKS AND 24PT 10/100/1000 TX,6524x","C6000","EBBU","ENGTG"
"73-10459-01","PCA,OTHERLOW SPEED ORTHOGONAL TEST CARD","","",""
"73-14746-01","^PCA,OTHER, XFMR SM to NM Adapter, W/O POE, Pb-free","WANLAN","SRGBU","ENGTG"
"73-13611-02","PCA,BKPLN,Rudy","ASR903","PABU","CTG"
"73-14744-01","PCA,OTHER,PF,TELPRES,Camera Head - FPGA, Tulip","","",""
"73-13711-01","PCA,DBRD,Viking, Weapon-X2 , Daughter brd., SnPb","","",""
"73-13710-01","PCA,MBRD,Viking, Weapon-X2 , Mother brd., SnPb","","",""
"73-13709-01","PCA,MBRD,BREAKOUT BOX,TYR","","",""
"73-13707-01","PCA,MBRD,CAT4K,48P GB POE+ RJ45 WITH SFP+,UAP","","",""
"73-14050-02","PCA,DBRD,,LOKI,PD MODULE","","",""
"73-13960-03","PCA,OTHER,OMAP DC INTERPOSER","","",""
"73-15004-01","PCA,MBRD,12L,OSP,SAGARIS,Pb-Free","","",""
"73-9420-01","PCA,VEGAS,MGM-STD W/BYPASS,INTELLIGENT LC","","",""
"73-1167-02","PCA,SUB,ENDMS-ANTC","","",""
"73-5284-01","PCA,ABBOT,PBX-VOIP,24P,10/100BT,PSU","","",""
"73-15152-01","PCA,MBRD,C819,Bills2,PB-FREE","M2M800","IOTBU","ENGTG"
"73-12307-02","PCA,MBRD,RIO BRAVO, VIKING","","",""
"73-9364-01","PCA,BKPLN,TYPHOON MULTI DEPTH BACKDRILL TEST VEHICLE","","",""
"73-3901-01","PCA,SUB,Gibraltar-Network Proc","UBR7100","CABU","SPVTG"
"73-6647-01","PCA,LAS_HLD_2.5Gb_FEC","","",""
"73-14343-04","PCA,OTHER,Macchiato 4x25G Passive Host CPAK Test Module","","",""
"73-7974-01","PCA, PPDC","","",""
"73-14197-01","PCA,MBRD,PF, ALASKAN_24PWR","","",""
"73-7357-02","PCA,SUB,MEZZANINE,GLUON ADAPTER,FERMI","","",""
"73-2751-01E3","PCA,SUB,Port Adapter:2-Port HSSI","","",""
"73-2738-01E1","PCA,SUB,1000B-SX,24PORT,RACHEL","","",""
"73-3692-02","PCA,SUB,OC_MOM,TGX8750","","",""
"73-14549-02","ACQ,ASM, MIO/DPC POWER DAUGHTER CARD 2.5V (MIO_DPC_PDC_2P5)","","",""
"73-2845-01E1","PCA,SUB,PRESTO,UPLINK,MMFIBER DAUGHTER CARD","","",""
"73-15112-01","PCA,DBRD,,Viking, Forge, XPM","","",""
"73-10011-01","PCA,OTHER","","",""
"73-6129-01","PCA,Sirius-SMI, 2 Port OC12 POS","","",""
"73-9062-0151","PCA, SUB, Combo DC Optimized","","",""
"73-2658-01","PCA,SUB,UGM ADAPTER","","",""
"73-2399-01","PCA,SUB,UGM","","",""
"73-14616-01","PCA,DBRD,1XCHOC12/DS0 SPA, CHOPPER, Pb-Free","","",""
"73-9706-01","PCA,SPEEDWAGON,OC48/STM-16,AS,IR,15454/E","","",""
"73-9918-01","R2D2 Test Vehicle","","",""
"73-6401-0151","PCA,IR-1-2488-SLED","","",""
"73-4929-01","PCA, RISER CARD, 3 SLOTS, ENDEAVOR","PIX","STBU","STG"
"73-4883-02","PCA, ENDEAVOR MOTHERBOARD","","",""
"73-100484-01","PCA, Arctic Circle Camera FPC","CTSMPS","CVEBU","CVTG"
"73-12282-02","PCA,MBRD,Granikos-Lite,SPA","SEC","SRGBU","ENGTG"
"73-100012-01","PCA, Marvin Sync Serial Card P2","CTSGW","CVIBU","CVTG"
"73-7539-03","PCA,Sirius 1xOC-12 POS MM","","",""
"73-7541-03","PCA,Sirius 1xOC-12 POS SML","","",""
"73-7199-02","PCA,PA-VXA-1TE1-30+","7000CMN","SRGBU","ENGTG"
"73-7176-03","PCA,MC28UX,UBR","UBR7200","CABU","SPVTG"
"73-12283-01","PCA,DBRD,Tyre (Granikos-Lite Daughter Board)","SEC","SRGBU","ENGTG"
"73-17648-01","PCA,OTHER,Rudy,Fan-MID-HighPerf","","",""
"73-17646-01","PCA,OTHER,Rudy,Fan-IO FB-HighPerf","","",""
"73-15153-01","PCA,OTHER,GALAXY9,TACHYON2,CLK MODULE","C4500","UABU","ENGTG"
"73-8758-02","PCA, PVDM-II, MSC8101, DUO","","",""
"73-4163-02","PCA,SUB,GALAXY 48P-100 FX,FLEO MEZZ","","",""
"73-3466-02","PCA,SUB,NPE-150B,PEM","","",""
"73-8908-01","PCA,OTHER,FRONT BOARD,SFP MODULE,RJ45,T1/E1","","",""
"73-8909-01","PCA,OTHER,SFP MODULE,SMB,T3/E3","","",""
"73-6994-01","PCA, SUB, WIC, G.SHDSL-T1/E1 Frame support, Picard","WANLAN","SRGBU","ENGTG"
"73-14710-03","PCA,MBRD,STARSCREAM FTC 120mm, VIKING","","",""
"73-14047-01","PCA,OTHER,,DC PWR INTF,LC,PANINI","","",""
"73-7853-01","PCA,L3_2.5G_LOAD,TEST,HFR","","",""
"73-11046-03","PCA,HUCK JR,AC ENTRY MODULE","AIRCI","IOTBU","ENGTG"
"73-8703-01","PCA, Aldo's Own BOM test","","",""
"73-1127-05E1","PCA,PUR-A,CLEAN,FSIP-8","","",""
"73-15097-01","PCA,MBRD,A-12CZ-F-D,EII","","",""
"73-2855-01E1","PCA,SUB,PRESTO,UPLINK,GIG ETHERNET","","",""
"73-9927-01","PCA, GALAXY10, FOXTROT, TESTCARD","","",""
"73-13692-04","PCA,MDPLN,BUTANO,PCIE RISER,SAN MATEO","SCP","SPMSBU","CTG"
"73-1815-01E2","PCA,SUB,1SOC3AC,SC,L2020","CONTENT","SRGBU","ENGTG"
"73-14013-01","PCA,MBRD,SAN FRANCISCO WSM, W/O TPM,MBRD,CA","","",""
"73-7351-01","PCA, 24 port Proton connector card","","",""
"73-13404-01","PCA,NIC,VWIC3-4MFT-T1/E1,Argot","","",""
"73-13403-01","PCA,NIC,VWIC3-2MFT-G703,Argot","","",""
"73-5075-07","PCA,AXSM-1-9953-XG","","",""
"73-13402-01","PCA,NIC,VWIC3-1MFT-G703,Argot","","",""
"73-10155-01","PCA,FC_LOADBOARD,YS,HFR","","",""
"73-14798-02","PCA,MBRD,S123-400,LCR,HFR","CRS","CORBU","CTG"
"73-2846-01","PCA,SUB,GIGABIT ETH,PORT ADPT,PORTOLA","","",""
"73-11764-09","PCA,MBRD,SHEYOJEE, Wukong24","C3750","UABU","ENGTG"
"73-11762-08","PCA,MBRD,SHEYOJEE, Wukong48","C3750","UABU","ENGTG"
