"BOKFØRINGSDATO";"RENTEDATO";"ARKIVREFERANSE";"TYPE";"TEKST";"UT FRA KONTO";"INN PÅ KONTO";
"2013-12-16";"2013-12-16";"17017105086";"Varekjøp";"15.12 STOCKFLETH3 SAN BRODTKORBSGT SANDVIKA";32.00;;
"2013-12-16";"2013-12-16";"17017906088";"Varekjøp";"14.12 ÅPENT BAKERI PARKVN.27 OSLO";281.00;;
"2013-12-16";"2013-12-16";"91521848";"Giro m/melding";"Nettgiro fra: K-Ohlsson Thor Betalt: 16.12.13";;500.00;
"2013-12-16";"2013-12-16";"17017990182";"Varekjøp";"14.12 ÅPENT BAKERI PARKVN.27 OSLO";29.00;;
"2013-12-16";"2013-12-16";"17017854931";"Varekjøp";"14.12 JOE & THE JUICE NEDRE SLOTTS OSLO";65.00;;
"2013-12-16";"2013-12-16";"17017628363";"Papirbasert reserve-løsning bet.terminal";"15.12 FAMENCO PIZZA J JARVEIEN 1 JAR";219.00;;
"2013-12-16";"2013-12-16";"17017836723";"Varekjøp";"15.12 ÅPENT BAKERI AS DAMPPLASSEN  OSLO";156.00;;
"2013-12-13";"2013-12-13";"50001685147";"Visa";"*9469 10.12 NOK 1095.00 GODTLEVERTNO Kurs: 1.0000";1095.00;;
"2013-12-13";"2013-12-13";"50001685147";"Visa";"*9469 10.12 DKK 45.00 STARBUCKS T2 Kurs: 1.1527";51.87;;
"2013-12-13";"2013-12-13";"17017369957";"Varekjøp";"12.12 MENY CC VEST LILLEAKERVN  OSLO";756.69;;
"2013-12-13";"2013-12-13";"17017966832";"Varekjøp";"13.12 CISCO CATERING  PHILIP PERDE LYSAKER";45.00;;
"2013-12-13";"2013-12-13";"50001685147";"Visa";"*9469 10.12 PLN 256.00 MULTISTORE SKLEP Kurs: 2.0575";526.72;;
"2013-12-13";"2013-12-13";"50001685147";"Visa";"*9469 10.12 DKK 350.00 LAKRIDS BY JOHAN BULOW AI Kurs: 1.1527";403.43;;
"2013-12-12";"2013-12-12";"17017045057";"Varekjøp";"12.12 CISCO CATERING  PHILIP PERDE LYSAKER";45.00;;
"2013-12-11";"2013-12-11";"50001685147";"Visa";"*9469 06.12 NOK 24.00 STORO STORSENTER Kurs: 1.0000";24.00;;
"2013-12-11";"2013-12-11";"17017003811";"Varekjøp";"10.12 7103 DUTY FREE  HOVEDPORTEN  GARDERMOEN";396.00;;
"2013-12-11";"2013-12-11";"17017715251";"Varekjøp";"11.12 CISCO CATERING  PHILIP PERDE LYSAKER";45.00;;
"2013-12-09";"2013-12-09";"17017015462";"Varekjøp";"06.12 ÅPENT BAKERI AS DAMPPLASSEN  OSLO";156.00;;
"2013-12-09";"2013-12-09";"17017036704";"Varekjøp";"06.12 7 - ELEVEN 7043 ULLERN ALLE  OSLO";65.00;;
"2013-12-06";"2013-12-06";"17017987765";"Varekjøp";"06.12 CISCO CATERING  PHILIP PERDE LYSAKER";45.00;;
"2013-12-06";"2013-12-06";"17017094407";"Varekjøp";"06.12 DRESSMANN 211 CC VEST OSLO";398.00;;
"2013-12-06";"2013-12-06";"17017620180";"Varekjøp";"06.12 SAXEN SKØYEN HOVFARET 17  OSLO";290.00;;
"2013-12-05";"2013-12-05";"50001685147";"Visa";"*9469 03.12 USD 1.01 Amazon Web Services Kurs: 6.2574";6.32;;
"2013-12-05";"2013-12-05";"17017933708";"Varekjøp";"05.12 CISCO CATERING  PHILIP PERDE LYSAKER";45.00;;
"2013-12-05";"2013-12-05";"17017831877";"Varekjøp";"04.12 MENY CC VEST LILLEAKERVN  OSLO";392.10;;
"2013-12-04";"2013-12-04";"17017425653";"Varekjøp";"04.12 CISCO CATERING  PHILIP PERDE LYSAKER";45.00;;
"2013-12-03";"2013-12-03";"50001685147";"Visa";"*9469 27.11 NOK 48.00 Q-PARK AS (CALE) Kurs: 1.0000";48.00;;
"2013-12-03";"2013-12-03";"50001685147";"Visa";"*9469 01.12 NOK 30.00 OSLO KOMMUNE Kurs: 1.0000";30.00;;
"2013-12-03";"2013-12-03";"17017048102";"Varekjøp";"02.12 MENY CC VEST LILLEAKERVN  OSLO";422.69;;
"2013-12-03";"2013-12-03";"17017093559";"Varekjøp";"03.12 CISCO CATERING  PHILIP PERDE LYSAKER";45.00;;
"2013-12-02";"2013-12-02";"17017344331";"Varekjøp";"29.11 KIWI 410 LILLEA LILLEAKERVN. OSLO";105.30;;
"2013-12-02";"2013-12-02";"17017349804";"Papirbasert reserve-løsning bet.terminal";"30.11 FAMENCO PIZZA J JARVEIEN 1 JAR";219.00;;
"2013-12-02";"2013-12-02";"17017302515";"Varekjøp";"30.11 SMOOTHIE XCHANG BRODTKORPSGT SANDVIKA";124.00;;
"2013-12-02";"2013-12-02";"17017602562";"Varekjøp";"02.12 CISCO CATERING  PHILIP PERDE LYSAKER";45.00;;
"2013-12-02";"2013-12-02";"17017739405";"Varekjøp";"30.11 667 ULTRA BRODKORBSGT. SANDVIKA";261.20;;
"2013-12-02";"2013-12-02";"50001685147";"Visa";"*9469 28.11 NOK 99.00 SPOTIFY SPOTIFY PREMIU Kurs: 1.0000";99.00;;
"2013-12-02";"2013-12-02";"17017910873";"Varekjøp";"29.11 667 ULTRA BRODKORBSGT. SANDVIKA";22.37;;
"2013-12-02";"2013-12-02";"17017885592";"Varekjøp";"30.11 ÅPENT BAKERI AS DAMPPLASSEN  OSLO";134.00;;
"2013-11-30";"2013-11-29";"17017663456";"Varekjøp";"28.11 KIWI 410 LILLEA LILLEAKERVN. OSLO";218.12;;
"2013-11-30";"2013-12-01";"90010000";"Kreditrente";"KREDITRENTER";;4.88;
"2013-11-30";"2013-11-29";"17017527286";"Varekjøp";"28.11 ÅPENT BAKERI AS DAMPPLASSEN  OSLO";137.00;;
"2013-11-30";"2013-11-29";"17017909822";"Varekjøp";"28.11 MENY CC VEST LILLEAKERVN  OSLO";337.50;;
"2013-11-30";"2013-11-29";"17017597386";"Varekjøp";"29.11 CISCO CATERING  PHILIP PERDE LYSAKER";45.00;;
"2013-11-28";"2013-11-28";"17017946277";"Varekjøp";"28.11 CISCO CATERING  PHILIP PERDE LYSAKER";45.00;;
"2013-11-28";"2013-11-28";"17017292975";"Varekjøp";"28.11 SHELL 7-ELEVEN  ULLERNCHAUSS OSLO";871.20;;
"2013-11-27";"2013-11-27";"17017186821";"Varekjøp";"26.11 7 - ELEVEN 7043 ULLERN ALLE  OSLO";89.00;;
"2013-11-27";"2013-11-27";"17017384480";"Varekjøp";"27.11 CISCO CATERING  PHILIP PERDE LYSAKER";45.00;;
"2013-11-27";"2013-11-27";"91521700";"Overføring";"Mobilbank";5800.00;;
"2013-11-27";"2013-11-27";"50968079152";"Giro";"Nettgiro fra: Hildegunn Mjelde Betalt: 27.11.13";;5797.50;
"2013-11-27";"2013-11-27";"17017162063";"Varekjøp";"26.11 REMA VÆKERØVEIE VÆKERØDVN 11 OSLO";132.33;;
"2013-11-26";"2013-11-26";"17017971439";"Varekjøp";"26.11 CISCO CATERING  PHILIP PERDE LYSAKER";45.00;;
"2013-11-26";"2013-11-26";"17017938089";"Varekjøp";"25.11 REMA VÆKERØVEIE VÆKERØDVN 11 OSLO";212.38;;
"2013-11-26";"2013-11-26";"91520709";"Giro m/melding";"Foreldrepenger for Sondre Mjel";500.00;;
"2013-11-26";"2013-11-26";"93600049";"Giro m/melding";"TIL: Kinga Tkacz-Stachowska             BETNR:       504";200.00;;
"2013-11-25";"2013-11-25";"91523290";"Overføring";"Mobilbank";10000.00;;
"2013-11-25";"2013-11-23";"91527415";"Overføring";"Mobilbank";;500.00;
"2013-11-25";"2013-11-25";"50975005550";"Lønn";"Lonn fra CISCO SYSTEMS NORWAY AS";;39395.16;
"2013-11-25";"2013-11-25";"91360753";"Overføring";"TIL KREDITTKORTKONTO";601.98;;
"2013-11-25";"2013-11-25";"91523271";"Overføring";"Mobilbank";10700.00;;
"2013-11-25";"2013-11-25";"17017532459";"Varekjøp";"24.11 GREFSENKOLLEN GREFSENKOLLV OSLO";25.00;;
"2013-11-25";"2013-11-25";"17017978712";"Varekjøp";"23.11 BYGDØY SUSHI BYGDØY ALLE  OSLO";465.00;;
"2013-11-21";"2013-11-21";"17017741364";"Varekjøp";"20.11 MENY CC VEST LILLEAKERVN  OSLO";901.29;;
"2013-11-21";"2013-11-21";"50001685147";"Visa";"*9469 15.11 SEK 140.00 APCOA PARKING SVERIGE AB Kurs: 0.9445";132.23;;
"2013-11-21";"2013-11-21";"17017142103";"Varekjøp";"21.11 ÅPENT BAKERI AS DAMPPLASSEN  OSLO";69.00;;
"2013-11-20";"2013-11-20";"50001685147";"Visa";"*9469 17.11 SEK 72.00 LISEBERG RESTAU Kurs: 0.9447";68.02;;
"2013-11-20";"2013-11-20";"50001685147";"Visa";"*9469 17.11 SEK 650.00 LISEBERG RESTAU Kurs: 0.9447";614.03;;
"2013-11-20";"2013-11-20";"50001685147";"Visa";"*9469 18.11 NOK 30.00 Ruter billett Kurs: 1.0000";30.00;;
"2013-11-20";"2013-11-20";"91527495";"Overføring";"Mobilbank";;1000.00;
"2013-11-20";"2013-11-20";"50001685147";"Visa";"*9469 18.11 NOK 30.00 Ruter billett Kurs: 1.0000";30.00;;
"2013-11-20";"2013-11-20";"17017962329";"Varekjøp";"20.11 ÅPENT BAKERI AS DAMPPLASSEN  OSLO";198.00;;
"2013-11-19";"2013-11-19";"50001685147";"Visa";"*9469 15.11 SEK 79.00 STATOIL VARBERG Kurs: 0.9451";74.66;;
"2013-11-19";"2013-11-19";"50001685147";"Visa";"*9469 17.11 SEK 180.00 LISEBERG AB Kurs: 0.9452";170.13;;
"2013-11-19";"2013-11-19";"50001685147";"Visa";"*9469 16.11 SEK 171.00 Espresso House 253 Emp Kurs: 0.9452";161.62;;
"2013-11-19";"2013-11-19";"50001685147";"Visa";"*9469 17.11 SEK 143.00 DA MATTEO I VIKTORIA Kurs: 0.9451";135.15;;
"2013-11-19";"2013-11-19";"50001685147";"Visa";"*9469 15.11 SEK 169.00 MACFORUM AB Kurs: 0.9452";159.73;;
"2013-11-19";"2013-11-19";"50001685147";"Visa";"*9469 16.11 SEK 47.00 Barista - Emporia Kurs: 0.9451";44.42;;
"2013-11-19";"2013-11-19";"50001685147";"Visa";"*9469 17.11 SEK 48.00 FOCUS PHUS Kurs: 0.9452";45.37;;
"2013-11-19";"2013-11-19";"50001685147";"Visa";"*9469 17.11 SEK 8.00 BA 1101 GOTEBORGS KOMMUN Kurs: 0.9450";7.56;;
"2013-11-19";"2013-11-19";"50001685147";"Visa";"*9469 17.11 SEK 101.00 DA MATTEO VALLGATAN Kurs: 0.9452";95.46;;
"2013-11-19";"2013-11-19";"17017049054";"Varekjøp";"19.11 CISCO CATERING  PHILIP PERDE LYSAKER";45.00;;
"2013-11-19";"2013-11-19";"17017426293";"Varekjøp";"18.11 BABY SWIM PROD. ARNEBRÅTVN.  OSLO";5.00;;
"2013-11-19";"2013-11-19";"50001685147";"Visa";"*9469 15.11 SEK 171.00 DA MATTEO I VIKTORIA Kurs: 0.9452";161.62;;
"2013-11-19";"2013-11-19";"50001685147";"Visa";"*9469 15.11 SEK 963.92 STATOIL STROMST Kurs: 0.9452";911.06;;
"2013-11-19";"2013-11-19";"50001685147";"Visa";"*9469 16.11 SEK 16.00 EMPORIA Kurs: 0.9450";15.12;;
"2013-11-19";"2013-11-19";"17017359061";"Varekjøp";"18.11 SHELL 7-ELEVEN  ULLERNCHAUSS OSLO";500.15;;
"2013-11-19";"2013-11-19";"50001685147";"Visa";"*9469 16.11 SEK 233.00 ICA KVANTUM EMPORIA Kurs: 0.9452";220.22;;
"2013-11-18";"2013-11-18";"17017100076";"Varekjøp";"18.11 CISCO CATERING  PHILIP PERDE LYSAKER";45.00;;
"2013-11-15";"2013-11-15";"17017426515";"Varekjøp";"15.11 ÅPENT BAKERI AS DAMPPLASSEN  OSLO";52.00;;
"2013-11-15";"2013-11-15";"17017494558";"Varekjøp";"15.11 KAFFEBRENNERIET DANNESVINGEN OSLO";69.00;;
"2013-11-14";"2013-11-14";"50001685147";"Visa";"*9469 12.11 NOK 795.00 GODTLEVERTNO Kurs: 1.0000";795.00;;
"2013-11-14";"2013-11-14";"17017475880";"Varekjøp";"13.11 REMA VÆKERØVEIE VÆKERØDVN 11 OSLO";74.41;;
"2013-11-14";"2013-11-14";"17017557724";"Varekjøp";"14.11 CISCO CATERING  PHILIP PERDE LYSAKER";45.00;;
"2013-11-14";"2013-11-14";"17017478165";"Varekjøp";"14.11 SAXEN SKØYEN HOVFARET 17  OSLO";290.00;;
"2013-11-13";"2013-11-13";"17017499596";"Varekjøp";"13.11 CISCO CATERING  PHILIP PERDE LYSAKER";45.00;;
"2013-11-13";"2013-11-13";"17017622271";"Varekjøp";"12.11 REMA VÆKERØVEIE VÆKERØDVN 11 OSLO";245.68;;
"2013-11-13";"2013-11-13";"50001685147";"Visa";"*9469 11.11 NOK 72.00 OSLO KOMMUNE Kurs: 1.0000";72.00;;
"2013-11-12";"2013-11-12";"17017873687";"Varekjøp";"11.11 JOKER LYSAKER DRAMMENSVN.  LYSAKER";279.53;;
"2013-11-12";"2013-11-12";"17017405275";"Varekjøp";"11.11 ÅPENT BAKERI AS DAMPPLASSEN  OSLO";70.00;;
"2013-11-12";"2013-11-12";"17017626552";"Varekjøp";"11.11 BABY SWIM PROD. ARNEBRÅTVN.  OSLO";5.00;;
"2013-11-12";"2013-11-12";"17017892617";"Varekjøp";"11.11 KIWI 410 LILLEA LILLEAKERVN. OSLO";31.90;;
"2013-11-12";"2013-11-12";"17017108630";"Varekjøp";"12.11 CISCO CATERING  PHILIP PERDE LYSAKER";45.00;;
"2013-11-12";"2013-11-12";"50001685147";"Visa";"*9469 09.11 NOK 10.60 Matvarehuset Ultra San Kurs: 1.0000";10.60;;
"2013-11-11";"2013-11-11";"17017829455";"Varekjøp";"11.11 CISCO CATERING  PHILIP PERDE LYSAKER";45.00;;
"2013-11-11";"2013-11-11";"17017664433";"Varekjøp";"09.11 667 ULTRA BRODKORBSGT. SANDVIKA";101.26;;
"2013-11-11";"2013-11-11";"17017798612";"Varekjøp";"09.11 ÅPENT BAKERI AS DAMPPLASSEN  OSLO";151.00;;
"2013-11-11";"2013-11-11";"17017774810";"Varekjøp";"09.11 TANUM AS CC VES LILLEAKERVN. OSLO";399.00;;
"2013-11-11";"2013-11-11";"17017633866";"Varekjøp";"11.11 STOCKFLETHS KARL JOHANSG OSLO";32.00;;
"2013-11-11";"2013-11-11";"17017738396";"Varekjøp";"09.11 MENY CC VEST LILLEAKERVN  OSLO";159.09;;
"2013-11-11";"2013-11-11";"17017025211";"Varekjøp";"09.11 ELKJØP MEGASTOR SOGNSVN.68-7 OSLO";149.00;;
"2013-11-11";"2013-11-11";"17017385409";"Varekjøp";"08.11 REMA VÆKERØVEIE VÆKERØDVN 11 OSLO";30.20;;
"2013-11-11";"2013-11-11";"17017225665";"Varekjøp";"10.11 ÅPENT BAKERI AS DAMPPLASSEN  OSLO";238.00;;
"2013-11-11";"2013-11-11";"17017985600";"Varekjøp";"10.11 STATOIL SKØYEN  DRAMMENSVEIE OSLO";299.00;;
"2013-11-11";"2013-11-11";"17017266985";"Varekjøp";"08.11 REMA VÆKERØVEIE VÆKERØDVN 11 OSLO";476.57;;
"2013-11-08";"2013-11-08";"17017951734";"Varekjøp";"08.11 CISCO CATERING  PHILIP PERDE LYSAKER";10.00;;
"2013-11-08";"2013-11-08";"50001685147";"Visa";"*9469 05.11 NOK 132.00 Q-PARK AS (SKIDATA) Kurs: 1.0000";132.00;;
"2013-11-08";"2013-11-08";"17017157767";"Varekjøp";"08.11 CISCO CATERING  PHILIP PERDE LYSAKER";16.00;;
"2013-11-08";"2013-11-08";"17017944797";"Varekjøp";"08.11 CISCO CATERING  PHILIP PERDE LYSAKER";45.00;;
"2013-11-07";"2013-11-07";"50001685147";"Visa";"*9469 05.11 NOK 795.00 GODTLEVERT.NO AS Kurs: 1.0000";795.00;;
"2013-11-07";"2013-11-07";"17017315746";"Varekjøp";"07.11 CISCO CATERING  PHILIP PERDE LYSAKER";45.00;;
"2013-11-07";"2013-11-07";"17017464499";"Varekjøp";"06.11 MENY CC VEST LILLEAKERVN  OSLO";271.30;;
"2013-11-06";"2013-11-06";"17017201159";"Varekjøp";"06.11 CISCO CATERING  PHILIP PERDE LYSAKER";45.00;;
"2013-11-06";"2013-11-06";"50001685147";"Visa";"*9469 05.11 USD 1.01 Amazon Web Services Kurs: 6.0891";6.15;;
"2013-11-05";"2013-11-05";"17017071642";"Varekjøp";"04.11 JOKER LYSAKER DRAMMENSVN.  LYSAKER";78.65;;
"2013-11-05";"2013-11-05";"50001685147";"Visa";"*9469 03.11 NOK 860.00 DOMENESHOP AS Kurs: 1.0000";860.00;;
"2013-11-05";"2013-11-05";"17017807700";"Varekjøp";"04.11 BABY SWIM PROD. ARNEBRÅTVN.  OSLO";5.00;;
"2013-11-05";"2013-11-05";"17017317601";"Varekjøp";"05.11 CISCO CATERING  PHILIP PERDE LYSAKER";45.00;;
"2013-11-04";"2013-11-04";"17017004456";"Papirbasert reserve-løsning bet.terminal";"02.11 FAMENCO PIZZA J JARVEIEN 1 JAR";229.00;;
"2013-11-04";"2013-11-04";"17017316089";"Varekjøp";"02.11 ÅPENT BAKERI AS DAMPPLASSEN  OSLO";157.00;;
"2013-11-04";"2013-11-04";"17017992076";"Varekjøp";"02.11 116401 GRENSEN  KONGENSGT. 2 OSLO";498.00;;
"2013-11-04";"2013-11-04";"17017806190";"Varekjøp";"03.11 STRAND BUTIKK STRANDALLEN  STABEKK";455.00;;
"2013-11-04";"2013-11-04";"93601714";"Giro m/KID";"TIL: AMERICAN EXPRESS CARD SERVICES     BETNR:       501";740.00;;
"2013-11-04";"2013-11-04";"17017454655";"Varekjøp";"04.11 CISCO CATERING  PHILIP PERDE LYSAKER";45.00;;
"2013-11-04";"2013-11-04";"17017226356";"Varekjøp";"02.11 KIWI 410 LILLEA LILLEAKERVN. OSLO";313.57;;
"2013-11-04";"2013-11-04";"17017478136";"Varekjøp";"03.11 ÅPENT BAKERI AS DAMPPLASSEN  OSLO";29.00;;
"2013-11-01";"2013-11-01";"17017691459";"Varekjøp";"31.10 TANUM AS CC VES LILLEAKERVN. OSLO";199.00;;
"2013-11-01";"2013-11-01";"17017549178";"Varekjøp";"01.11 CISCO CATERING  PHILIP PERDE LYSAKER";6.00;;
"2013-11-01";"2013-11-01";"17017469710";"Varekjøp";"01.11 LEOS LEKELAND N GRINI NÆRING ØSTERÅS";53.00;;
"2013-11-01";"2013-11-01";"17017554884";"Varekjøp";"31.10 XXL INFORAMA SANDVIKSVN SANDVIKA";499.00;;
"2013-11-01";"2013-11-01";"17017309993";"Varekjøp";"31.10 KIWI 410 LILLEA LILLEAKERVN. OSLO";200.30;;
"2013-11-01";"2013-11-01";"17017644380";"Varekjøp";"01.11 LEOS LEKELAND N GRINI NÆRING ØSTERÅS";155.00;;
"2013-11-01";"2013-11-01";"17017048791";"Varekjøp";"01.11 LEOS LEKELAND N GRINI NÆRING ØSTERÅS";49.00;;
"2013-11-01";"2013-11-01";"17017771948";"Varekjøp";"31.10 Matkroken Sandv ika Sto Sandvika";167.00;;
"2013-10-31";"2013-10-31";"50001685147";"Visa";"*9469 29.10 NOK 795.00 GODTLEVERT.NO AS Kurs: 1.0000";795.00;;
"2013-10-31";"2013-10-31";"17017780194";"Varekjøp";"30.10 MENY CC VEST LILLEAKERVN  OSLO";631.66;;
"2013-10-31";"2013-10-31";"17017373396";"Varekjøp";"31.10 FETTER KLOVN LILLEAKERVN. OSLO";818.00;;
"2013-10-31";"2013-10-31";"17017483477";"Varekjøp";"31.10 ZEBITZ BAKERI LILLEAKERVN  OSLO";32.00;;
"2013-10-31";"2013-10-31";"17017076018";"Varekjøp";"30.10 REMA VÆKERØVEIE VÆKERØDVN 11 OSLO";73.40;;
"2013-10-31";"2013-10-31";"17017928386";"Varekjøp";"30.10 7 - ELEVEN 7043 ULLERN ALLE  OSLO";34.00;;
"2013-10-31";"2013-10-29";"50001685147";"Visa";"*9469 29.10 NOK 30.00 GODTLEVERT.NO AS Kurs: 1.0000";;30.00;
"2013-10-31";"2013-11-01";"90010000";"Kreditrente";"KREDITRENTER";;6.10;
"2013-10-30";"2013-10-30";"50001685147";"Visa";"*9469 28.10 NOK 99.00 SPOTIFY SPOTIFY PREMIU Kurs: 1.0000";99.00;;
"2013-10-29";"2013-10-29";"17017360898";"Varekjøp";"28.10 7 - ELEVEN 7043 ULLERN ALLE  OSLO";25.00;;
"2013-10-29";"2013-10-29";"17017843686";"Varekjøp";"28.10 BABY SWIM PROD. ARNEBRÅTVN.  OSLO";5.00;;
"2013-10-29";"2013-10-29";"91360258";"Overføring";"TIL KREDITTKORTKONTO";1.05;;
"2013-10-29";"2013-10-29";"91520962";"Overføring";"OVERFØRING MELLOM EGNE KONTI";4772.00;;
"2013-10-29";"2013-10-29";"50968089152";"Giro";"Nettgiro fra: Hildegunn Mjelde Betalt: 28.10.13";;4772.00;
"2013-10-29";"2013-10-29";"17017031805";"Varekjøp";"28.10 ÅPENT BAKERI AS DAMPPLASSEN  OSLO";99.00;;
"2013-10-29";"2013-10-29";"50975025064";"Overførsel";"Fra: CISCO SYSTEMS NORWAY AS Betalt: 29.10.13";;600.00;
"2013-10-28";"2013-10-28";"17017279290";"Varekjøp";"26.10 RÅHOLT LEKER AS SMIEGT. 2 GRAN";2.00;;
"2013-10-28";"2013-10-28";"17017853894";"Varekjøp";"27.10 SHELL GRAN HOVS GUTUA 2  GRAN";31.00;;
"2013-10-28";"2013-10-28";"17017841788";"Varekjøp";"27.10 SHELL GRAN HOVS GUTUA 2  GRAN";736.91;;
"2013-10-28";"2013-10-28";"17017504974";"Varekjøp";"28.10 7 - ELEVEN 7043 ULLERN ALLE  OSLO";22.00;;
"2013-10-28";"2013-10-28";"17017390601";"Varekjøp";"26.10 RIMI Gran  GRAN";24.41;;
"2013-10-28";"2013-10-28";"17017587512";"Varekjøp";"28.10 CISCO CATERING  PHILIP PERDE LYSAKER";45.00;;
"2013-10-25";"2013-10-25";"91522598";"Overføring";"Mobilbank";10700.00;;
"2013-10-25";"2013-10-25";"91522564";"Overføring";"Mobilbank";44196.00;;
"2013-10-25";"2013-10-25";"17017425193";"Varekjøp";"24.10 KIWI 410 LILLEA LILLEAKERVN. OSLO";67.10;;
"2013-10-25";"2013-10-25";"50975004820";"Lønn";"Lonn fra CISCO SYSTEMS NORWAY AS";;71840.09;
"2013-10-24";"2013-10-24";"50001685147";"Visa";"*9469 22.10 NOK 1095.00 GODTLEVERT.NO AS Kurs: 1.0000";1095.00;;
"2013-10-24";"2013-10-24";"91527137";"Overføring";"Mobilbank";;200.00;
"2013-10-23";"2013-10-23";"17017602426";"Varekjøp";"22.10 REMA VÆKERØVEIE VÆKERØDVN 11 OSLO";20.19;;
"2013-10-23";"2013-10-23";"50001685147";"Visa";"*9469 21.10 NOK 30.00 Ruter billett Kurs: 1.0000";30.00;;
"2013-10-23";"2013-10-23";"50001685147";"Visa";"*9469 21.10 NOK 30.00 Ruter billett Kurs: 1.0000";30.00;;
"2013-10-23";"2013-10-23";"50001685147";"Visa";"*9469 21.10 NOK 30.00 Ruter billett Kurs: 1.0000";30.00;;
"2013-10-22";"2013-10-22";"50001685147";"Visa";"*9469 18.10 NOK 30.00 Ruter billett Kurs: 1.0000";30.00;;
"2013-10-22";"2013-10-22";"17017677444";"Varekjøp";"22.10 SHELL 7-ELEVEN  ULLERNCHAUSS OSLO";424.91;;
"2013-10-22";"2013-10-22";"17017691956";"Varekjøp";"22.10 SHELL 7-ELEVEN  ULLERNCHAUSS OSLO";716.00;;
"2013-10-22";"2013-10-22";"17017490426";"Varekjøp";"21.10 BABY SWIM PROD. ARNEBRÅTVN.  OSLO";10.00;;
"2013-10-21";"2013-10-21";"91520190";"Overføring";"OVERFØRING MELLOM EGNE KONTI";6000.00;;
"2013-10-21";"2013-10-21";"50001685147";"Visa";"*9469 17.10 NOK 30.00 Ruter billett Kurs: 1.0000";30.00;;
"2013-10-21";"2013-10-21";"17017258664";"Varekjøp";"19.10 REMA VÆKERØVEIE VÆKERØDVN 11 OSLO";168.19;;
